ID,1FA,2FA,Reset1FA,Reset2FA
01,[P],[PS],[E],[E]
02,[P],[EP][PS],[E][S],[E][S]
03,[P],[AP][PS],[E],[E]
04,[E][K][P],[AP][EP][K][PS],[A][E][S],[AE][AS][ES]
05,[P],[EP][PS],[E],[E]
06,[K][P],[AP][K][PS],[E][S],[AE][ES]
07,[P][S],,[E][S],
08,[K][P],[AP][K][PS],[E],[E]
09,[P],[AP][PS],[E][S],[E][S]
10,[K][P],[AP][K][PS],[E][S],[AE][ES]
11,,[AP][EP][PS],,[E]
12,[P],[AP][EP][PS],[A][E][S],[A][E][S]
13,[P],,[E][S],
14,[P],,[E][S],
15,[P],,[S],
16,[E][P][S],,[E][S],
17,[K][P],[AP][K],[E][S],[E][S]
18,[P],[PS],[E],[E]
19,[S],,,
20,[P],[AP],[E][S],[E][S]
21,[P],[AP],[E],[AE]
22,[P],,[E],
23,[P],[AP][PS],[S],[S]
24,[P],,[E],
25,[K][P],[AK][AP][KS][PS],[E][S],[AE][ES]
26,[P],[AP][PS],[E][S],[AE][AS]
27,[K][P],[AP][EP][K][PS],[E][S],[AE][AS]
28,[P][S],[AP],[E],[E]
29,[K][P],[AK][AP][KS][PS],[E][S],[ES]
30,[P],,[E],
31,[E][K][P][S],[AP][EP][K][PS],[E][S],[E][S]
32,[P],,[E],
33,[P],[AP][PS],[E][S],[E][S]
34,[E][K][P][S],[EP][K][PS],[S],[S]
35,[E][P][S],[PS],[E][S],[ES]
36,[P],[AP],[E],[E]
37,[E][P],,[E],
38,[P],[AP][EP][PS],[A][S],[A][S]
39,[P],,[E],
40,[K][P][S],[AP][AS][EP][ES][K][PS],[E][S],[AE][AS]
41,[K][P],,[E],
42,[P],,[E][S],
43,[E][P],,[E],
44,[K][P],[AK][AP][KS][PS],[E],[E]
45,[P],,[EQ],
46,[K][P],[AP][K][PS],[E][S],[AE][ES]
47,[P],,[A][E][S],
48,[P],[AP][EP][PS],[E][S],[AE][AS]
49,[E][K][P],[AE][AK][AP][ES][KS][PS],[E][S],[E][S]
50,[P],[EP],[E],[E]
