Table 7 (1FA vs Kmap1FA factor sets):
Factors: woReset
{A, E, P, Q, S}: 100.0% (49)
{A, E, P, Q}: 98.0% (48)
{A, E, P, S}: 100.0% (49)
{A, E, P}: 98.0% (48)
{A, P, Q, S}: 100.0% (49)
{A, P, Q}: 98.0% (48)
{A, P, S}: 100.0% (49)
{A, P}: 98.0% (48)
{E, P, Q, S}: 100.0% (49)
{E, P, Q}: 98.0% (48)
{E, P, S}: 100.0% (49)
{E, P}: 98.0% (48)
{P, Q, S}: 100.0% (49)
{P, Q}: 98.0% (48)
{P, S}: 100.0% (49)
{P}: 98.0% (48)
=======
Factors: woReset: wReset
{A, E, K, P, Q, S}: 100.0% (49); 100.0% (49)
{A, E, K, Q, S}: 44.9% (22); 100.0% (49)
{A, E, K, Q}: 38.8% (19); 93.9% (46)
{A, E, K, S}: 44.9% (22); 98.0% (48)
{A, E, K}: 38.8% (19); 91.8% (45)
{A, E, P, Q, S}: 100.0% (49); 100.0% (49)
{A, E, Q, S}: 24.5% (12); 100.0% (49)
{A, E, Q}: 16.3% (8); 93.9% (46)
{A, E, S}: 24.5% (12); 98.0% (48)
{A, E}: 16.3% (8); 91.8% (45)
{A, K, Q, S}: 40.8% (20); 69.4% (34)
{A, K, Q}: 30.6% (15); 36.7% (18)
{A, K, S}: 40.8% (20); 69.4% (34)
{A, K}: 30.6% (15); 36.7% (18)
{A, Q, S}: 16.3% (8); 63.3% (31)
{A, Q}: 0.0% (0); 8.2% (4)
{A, S}: 16.3% (8); 63.3% (31)
{A}: 0.0% (0); 8.2% (4)
{E, K, P, Q, S}: 100.0% (49); 100.0% (49)
{E, K, Q, S}: 44.9% (22); 100.0% (49)
{E, K, Q}: 38.8% (19); 91.8% (45)
{E, K, S}: 44.9% (22); 98.0% (48)
{E, K}: 38.8% (19); 89.8% (44)
{E, P, Q, S}: 100.0% (49); 100.0% (49)
{E, Q, S}: 24.5% (12); 100.0% (49)
{E, Q}: 16.3% (8); 91.8% (45)
{E, S}: 24.5% (12); 98.0% (48)
{E}: 16.3% (8); 89.8% (44)
{K, Q, S}: 40.8% (20); 69.4% (34)
{K, Q}: 30.6% (15); 30.6% (15)
{K, S}: 40.8% (20); 69.4% (34)
{K}: 30.6% (15); 30.6% (15)
{Q, S}: 16.3% (8); 63.3% (31)
{S}: 16.3% (8); 63.3% (31)
